,Facility Name,CMS Certification Number (CCN),City,state,State Abbr,Zip Code,Lat,Long,VAT Catheter Measure Score,National Average VAT Catheter Measure Score,VAT Fistula Measure Score,National Average Fistula Measure Score,Vascular Access Combined Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Measure Score,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,National Average Hypercalcemia Measure Score,NHSN Influenza Measure Score,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score,National Average NHSN BSI Measure Score,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score,Mineral Metabolism Measure Score,National Avg Mineral Metabolism Measure Score,Anemia Management Measure Score,National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,National Average STrR Measure Score,Clinical Depression Screening and Follow-up Measure Score,National Average Clinical Depression Screening and Follow-up Measure Score,Pain Assessment and Follow-up Measure Score,National Average Pain Assessment and Follow-up Measure Score,Total Performance Score,PY2019 Payment Reduction Percentage,CMS Certification Date,FacilityAge
91,032613 NORTHWEST TUCSON DIALYSIS (FMC),32613,TUCSON,Arizona,AZ,85741,32.33,-111.05,8,5,5,5,7,5,10,8,10,8,10,9,5,6,7,7,8,5,10,9,10,10,9,5,4,5,10,10,10,10,81,No Reduction,9/20/2007,4120 days 00:00:00.000000000
92,032521 DIALYSIS CENTER OF GLENDALE (FMC),32521,GLENDALE,Arizona,AZ,85301,33.53,-112.18,8,5,8,5,8,5,10,8,10,8,10,9,5,6,7,7,5,5,10,9,10,10,8,5,9,5,10,10,10,10,80,No Reduction,3/1/1985,12358 days 00:00:00.000000000
93,032594 SALT RIVER DIALYSIS CENTER (FMC),32594,SCOTTSDALE,Arizona,AZ,85256,33.5,-111.79,9,5,7,5,8,5,10,8,10,8,10,9,4,6,6,7,9,5,10,9,10,10,9,5,10,5,10,10,10,10,88,No Reduction,7/10/2002,6018 days 00:00:00.000000000
94,032562 COTTONWOOD DIALYSIS (DVA),32562,COTTONWOOD,Arizona,AZ,86326,34.75,-112.01,9,5,9,5,9,5,6,8,6,8,10,9,5,6,7,7,6,5,8,9,10,10,9,5,6,5,10,10,10,10,73,No Reduction,12/1/1996,8065 days 00:00:00.000000000
95,032545 SOUTH MOUNTAIN DIALYSIS CENTER (FMC),32545,PHOENIX,Arizona,AZ,85042,33.37,-112.03,6,5,8,5,7,5,10,8,8,8,10,9,7,6,8,7,4,5,9,9,10,10,5,5,8,5,10,10,10,10,72,No Reduction,5/3/1993,9373 days 00:00:00.000000000
96,032625 RAVEN DIALYSIS CENTER (DVA),32625,PHOENIX,Arizona,AZ,85042,33.37,-112.03,7,5,6,5,7,5,10,8,7,8,10,9,6,6,8,7,8,5,10,9,10,10,5,5,4,5,10,10,10,10,76,No Reduction,4/8/2009,3554 days 00:00:00.000000000
97,032557 TUCSON SOUTH DIALYSIS (DVA),32557,TUCSON,Arizona,AZ,85713,32.19,-110.98,9,5,10,5,9,5,9,8,7,8,10,9,0,6,4,7,8,5,7,9,10,10,4,5,6,5,10,10,10,10,71,No Reduction,4/13/1995,8663 days 00:00:00.000000000
98,032629 SOUTH TUCSON DIALYSIS (FMC),32629,TUCSON,Arizona,AZ,85713,32.19,-110.98,10,5,7,5,9,5,8,8,9,8,10,9,10,6,10,7,6,5,10,9,10,10,4,5,10,5,10,10,10,10,80,No Reduction,7/29/2009,3442 days 00:00:00.000000000
99,032530 DESERT VALLEY DIALYSIS (FMC),32530,PHOENIX,Arizona,AZ,85032,33.62,-112,6,5,10,5,8,5,9,8,10,8,10,9,6,6,8,7,7,5,10,9,10,10,2,5,7,5,10,10,10,10,75,No Reduction,10/18/1989,10666 days 00:00:00.000000000
100,032508 SOUTH PHOENIX DIALYSIS SERVICES (FMC),32508,PHOENIX,Arizona,AZ,85007,33.44,-112.08,9,5,9,5,9,5,10,8,10,8,10,9,10,6,10,7,0,5,10,9,10,10,5,5,6,5,10,10,10,10,69,No Reduction,2/1/1985,12386 days 00:00:00.000000000
101,032509 EAST VALLEY DIALYSIS (FMC),32509,MESA,Arizona,AZ,85206,33.39,-111.71,3,5,6,5,4,5,10,8,10,8,10,9,7,6,8,7,5,5,10,9,10,10,4,5,5,5,10,10,10,10,67,No Reduction,9/11/1997,7781 days 00:00:00.000000000
102,032516 CHANDLER DIALYSIS (FMC),32516,CHANDLER,Arizona,AZ,85225,33.32,-111.82,10,5,10,5,10,5,9,8,10,8,10,9,3,6,6,7,1,5,9,9,10,10,3,5,7,5,10,10,10,10,64,No Reduction,10/30/1985,12115 days 00:00:00.000000000
103,032634 SOUTHWEST KIDNEY DIALYSIS - MARYVALE (DVA),32634,PHOENIX,Arizona,AZ,85035,33.47,-112.19,6,5,9,5,7,5,7,8,8,8,10,9,1,6,5,7,5,5,9,9,10,10,6,5,6,5,10,10,10,10,64,No Reduction,6/9/2010,3127 days 00:00:00.000000000
104,032571 NORTH SCOTTSDALE DIALYSIS (FMC),32571,SCOTTSDALE,Arizona,AZ,85260,33.61,-111.89,5,5,8,5,6,5,5,8,9,8,10,9,10,6,10,7,1,5,7,9,9,10,2,5,6,5,10,10,10,10,55,0.50%,6/20/1997,7864 days 00:00:00.000000000
105,032624 SOUTHWEST KIDNEY CENTRAL MESA (DVA),32624,MESA,Arizona,AZ,85203,33.44,-111.8,6,5,10,5,8,5,5,8,3,8,10,9,7,6,8,7,1,5,6,9,10,10,5,5,9,5,10,10,9,10,57,0.50%,11/26/2008,3687 days 00:00:00.000000000
106,032517 CENTRAL PHX DIALYSIS (FMC),32517,PHOENIX,Arizona,AZ,85013,33.5,-112.08,2,5,5,5,3,5,10,8,10,8,10,9,8,6,9,7,7,5,10,9,10,10,0,5,8,5,10,10,10,10,69,No Reduction,9/8/1997,7784 days 00:00:00.000000000
107,032549 SAFFORD DIALYSIS (FMC),32549,SAFFORD,Arizona,AZ,85546,32.7,-109.65,10,5,10,5,10,5,10,8,10,8,10,9,7,6,8,7,2,5,9,9,10,10,1,5,9,5,10,10,10,10,70,No Reduction,9/9/1997,7783 days 00:00:00.000000000
108,032564 MARYVALE DIALYSIS (FMC),32564,PHOENIX,Arizona,AZ,85031,33.49,-112.16,8,5,9,5,8,5,9,8,10,8,10,9,6,6,8,7,3,5,9,9,10,10,7,5,7,5,10,10,10,10,73,No Reduction,8/20/1997,7803 days 00:00:00.000000000
109,032626 MIDVALE PARK DIALYSIS (FMC),32626,TUCSON,Arizona,AZ,85746,32.09,-111.08,7,5,7,5,7,5,10,8,9,8,10,9,8,6,9,7,6,5,9,9,10,10,2,5,8,5,10,10,10,10,74,No Reduction,4/24/2009,3538 days 00:00:00.000000000
110,032503 PHOENIX ARTIFICIAL KIDNEY CENTER (FMC),32503,PEORIA,Arizona,AZ,85381,33.61,-112.23,9,5,8,5,9,5,10,8,10,8,10,9,0,6,4,7,7,5,10,9,10,10,5,5,8,5,10,10,10,10,76,No Reduction,3/26/1979,14525 days 00:00:00.000000000
111,032541 TEMPE DIALYSIS (FMC),32541,TEMPE,Arizona,AZ,85282,33.4,-111.92,4,5,7,5,5,5,8,8,8,8,10,9,6,6,8,7,9,5,10,9,10,10,5,5,6,5,10,10,10,10,74,No Reduction,9/29/1997,7763 days 00:00:00.000000000
112,032643 EAST TUCSON (FMC),32643,TUCSON,Arizona,AZ,85711,32.21,-110.88,7,5,7,5,7,5,9,8,7,8,10,9,7,6,8,7,6,5,10,9,10,10,4,5,6,5,10,10,10,10,71,No Reduction,10/1/2015,1187 days 00:00:00.000000000
113,032619 MOUNTAIN VISTA DIALYSIS OF ARIZONA (DVA),32619,MESA,Arizona,AZ,85209,33.37,-111.64,6,5,7,5,6,5,7,8,7,8,10,9,7,6,8,7,5,5,9,9,10,10,4,5,7,5,10,10,10,10,65,No Reduction,5/7/2008,3890 days 00:00:00.000000000
114,032542 ARCADIA DIALYSIS CENTER (FMC),32542,PHOENIX,Arizona,AZ,85016,33.5,-112.02,7,5,10,5,9,5,9,8,10,8,10,9,9,6,9,7,7,5,9,9,10,10,5,5,4,5,10,10,10,10,78,No Reduction,12/1/1992,9526 days 00:00:00.000000000
115,032630 BROOKWOOD DIALYSIS CLINIC (DVA),32630,GLENDALE,Arizona,AZ,85302,33.57,-112.18,7,5,5,5,6,5,8,8,9,8,10,9,9,6,9,7,4,5,9,9,10,10,0,5,7,5,10,10,10,10,63,No Reduction,10/5/2009,3374 days 00:00:00.000000000
116,032604 SOUTHWEST KIDNEY DIALYSIS - ARROWHEAD LAKES (DVA),32604,GLENDALE,Arizona,AZ,85308,33.66,-112.18,4,5,3,5,4,5,6,8,2,8,10,9,9,6,9,7,3,5,5,9,10,10,2,5,4,5,10,10,10,10,50,0.50%,6/18/2004,5309 days 00:00:00.000000000
117,032563 SCOTTSDALE DIALYSIS (FMC),32563,SCOTTSDALE,Arizona,AZ,85257,33.46,-111.92,9,5,10,5,9,5,10,8,10,8,10,9,10,6,10,7,4,5,10,9,10,10,8,5,10,5,10,10,10,10,84,No Reduction,3/1/1997,7975 days 00:00:00.000000000
118,032558 BULLHEAD CITY DIALYSIS (FMC),32558,BULLHEAD CITY,Arizona,AZ,86442,35.09,-114.57,6,5,9,5,7,5,6,8,10,8,10,9,4,6,6,7,3,5,10,9,10,10,6,5,5,5,10,10,10,10,61,No Reduction,5/17/1995,8629 days 00:00:00.000000000
119,032573 PASCUA YAQUI DIALYSIS (DVA),32573,TUCSON,Arizona,AZ,85757,32.08,-111.11,2,5,9,5,5,5,9,8,6,8,10,9,6,6,8,7,5,5,9,9,10,10,10,5,8,5,10,10,10,10,74,No Reduction,6/27/1997,7857 days 00:00:00.000000000
120,032561 CASA GRANDE DIALYSIS (FMC),32561,CASA GRANDE,Arizona,AZ,85122,32.91,-111.74,6,5,9,5,7,5,10,8,10,8,10,9,8,6,9,7,4,5,10,9,10,10,3,5,1,5,10,10,10,10,66,No Reduction,9/1/1995,8522 days 00:00:00.000000000
121,032540 WESTERN SKIES DIALYSIS INC.,32540,CASA GRANDE,Arizona,AZ,85122,32.91,-111.74,0,5,3,5,1,5,0,8,0,8,10,9,0,6,1,7,5,5,10,9,10,10,4,5,0,5,10,10,10,10,27,2.00%,6/24/1996,8225 days 00:00:00.000000000
122,032621 WEST BROOK DIALYSIS (DVA),32621,SUN CITY WEST,Arizona,AZ,85375,33.67,-112.36,5,5,1,5,3,5,7,8,9,8,10,9,4,6,6,7,3,5,8,9,10,10,1,5,2,5,10,10,10,10,47,1.00%,6/18/2008,3848 days 00:00:00.000000000
123,032610 SOUTHEAST VALLEY DIALYSIS (FMC),32610,QUEEN CREEK,Arizona,AZ,85142,33.16,-111.59,6,5,7,5,6,5,9,8,10,8,10,9,5,6,7,7,7,5,10,9,10,10,8,5,5,5,10,10,10,10,76,No Reduction,6/19/2006,4578 days 00:00:00.000000000
124,032528 THUNDERBIRD DIALYSIS (FMC),32528,GLENDALE,Arizona,AZ,85306,33.62,-112.17,8,5,7,5,8,5,10,8,10,8,10,9,7,6,8,7,4,5,9,9,9,10,3,5,7,5,10,10,10,10,71,No Reduction,5/3/1989,10834 days 00:00:00.000000000
125,032611 SOUTHWEST KIDNEY DIALYSIS - PHOENIX (DVA),32611,PHOENIX,Arizona,AZ,85004,33.44,-112.07,7,5,10,5,8,5,10,8,8,8,10,9,0,6,4,7,6,5,10,9,10,10,8,5,8,5,10,10,10,10,75,No Reduction,8/8/2006,4528 days 00:00:00.000000000
126,032607 AVONDALE DIALYSIS (FMC),32607,AVONDALE,Arizona,AZ,85323,33.44,-112.31,9,5,10,5,9,5,10,8,9,8,10,9,8,6,9,7,7,5,10,9,10,10,4,5,10,5,10,10,10,10,83,No Reduction,5/9/2005,4984 days 00:00:00.000000000
127,DAVITA - SPRINGHILL DIALYSIS,42513,NORTH LITTLE ROCK,Arkansas,AR,72117,34.78,-92.25,10,5,6,5,8,5,9,8,9,8,10,9,2,6,5,7,1,5,6,9,10,10,1,5,4,5,10,10,10,10,53,0.50%,7/10/1987,11497 days 00:00:00.000000000
128,DAVITA - NORTH LITTLE ROCK DIALYSIS CTR,42548,NORTH LITTLE ROCK,Arkansas,AR,72117,34.78,-92.25,8,5,1,5,5,5,10,8,10,8,10,9,8,6,9,7,7,5,10,9,10,10,6,5,4,5,10,10,10,10,75,No Reduction,5/29/1998,7521 days 00:00:00.000000000
129,DAVITA - OUACHITA VALLEY DIALYSIS,42525,CAMDEN,Arkansas,AR,71701,33.56,-92.84,7,5,6,5,7,5,10,8,8,8,10,9,0,6,4,7,3,5,9,9,10,10,3,5,0,5,10,10,10,10,54,0.50%,7/13/1990,10398 days 00:00:00.000000000
130,DAVITA - LITTLE ROCK MIDTOWN DIALYSIS,42547,LITTLE ROCK,Arkansas,AR,72205,34.72,-92.35,6,5,0,5,3,5,9,8,8,8,10,9,0,6,4,7,3,5,9,9,10,10,1,5,6,5,10,10,10,10,50,0.50%,5/15/1998,7535 days 00:00:00.000000000
131,FMCNA - LITTLE ROCK DIALYSIS,42521,LITTLE ROCK,Arkansas,AR,72205,34.72,-92.35,1,5,0,5,1,5,9,8,3,8,10,9,4,6,6,7,3,5,10,9,10,10,1,5,2,5,10,10,10,10,44,1.00%,6/14/1989,10792 days 00:00:00.000000000
132,DAVITA - SALINE COUNTY DIALYSIS,42558,BENTON,Arkansas,AR,72015,34.56,-92.57,6,5,4,5,5,5,10,8,7,8,10,9,0,6,4,7,3,5,9,9,10,10,0,5,0,5,10,10,10,10,47,1.00%,9/15/1999,7047 days 00:00:00.000000000
133,DAVITA - SEARCY DIALYSIS CTR,42514,SEARCY,Arkansas,AR,72143,35.24,-91.73,6,5,6,5,6,5,9,8,8,8,10,9,6,6,8,7,8,5,8,9,10,10,2,5,0,5,10,10,10,10,66,No Reduction,7/29/1987,11478 days 00:00:00.000000000
134,DAVITA - OSCEOLA RENAL CTR,42534,OSCEOLA,Arkansas,AR,72370,35.7,-89.99,5,5,3,5,4,5,10,8,10,8,10,9,6,6,8,7,10,5,10,9,10,10,2,5,5,5,10,10,10,10,74,No Reduction,1/1/1994,9130 days 00:00:00.000000000
135,DAVITA - RENAL CARE OF MARION,42573,MARION,Arkansas,AR,72364,35.2,-90.2,6,5,5,5,6,5,6,8,8,8,10,9,5,6,7,7,8,5,9,9,10,10,0,5,5,5,10,10,10,10,62,No Reduction,3/12/2004,5407 days 00:00:00.000000000
136,DAVITA - HEMPSTEAD COUNTY DIALYSIS UNIT,42563,HOPE,Arkansas,AR,71801,33.66,-93.59,1,5,1,5,1,5,9,8,8,8,10,9,5,6,7,7,5,5,10,9,10,10,10,5,5,5,10,10,10,10,66,No Reduction,9/28/2001,6303 days 00:00:00.000000000
137,DAVITA - SPRINGDALE,42568,SPRINGDALE,Arkansas,AR,72762,36.18,-94.14,4,5,9,5,6,5,10,8,10,8,10,9,2,6,5,7,8,5,10,9,10,10,5,5,2,5,10,10,10,10,70,No Reduction,7/3/2002,6025 days 00:00:00.000000000
138,DAVITA - HOT SPRINGS DIALYSIS,42531,HOT SPRINGS,Arkansas,AR,71913,34.5,-93.05,7,5,5,5,6,5,9,8,9,8,10,9,6,6,8,7,3,5,10,9,10,10,7,5,4,5,10,10,10,10,67,No Reduction,2/21/1992,9810 days 00:00:00.000000000
139,FMCNA - PINE BLUFF,42532,PINE BLUFF,Arkansas,AR,71601,34.21,-92.01,0,5,0,5,0,5,9,8,10,8,10,9,8,6,9,7,6,5,10,9,10,10,10,5,0,5,10,10,10,10,66,No Reduction,4/21/1993,9385 days 00:00:00.000000000
140,FMCNA - HELENA,42510,HELENA,Arkansas,AR,72342,34.52,-90.6,3,5,2,5,3,5,10,8,10,8,10,9,8,6,9,7,3,5,10,9,10,10,2,5,0,5,10,10,10,10,56,0.50%,3/14/1984,12710 days 00:00:00.000000000
141,FMCNA - BLYTHEVILLE,42550,BLYTHEVILLE,Arkansas,AR,72315,35.93,-89.92,0,5,1,5,0,5,10,8,8,8,10,9,7,6,8,7,2,5,10,9,10,10,3,5,6,5,10,10,10,10,54,0.50%,7/1/1998,7488 days 00:00:00.000000000
142,DAVITA - SOUTH ARKANSAS DIALYSIS -EL DORADO,42536,EL DORADO,Arkansas,AR,71730,33.21,-92.66,10,5,10,5,10,5,8,8,9,8,10,9,0,6,4,7,5,5,10,9,10,10,6,5,0,5,10,10,10,10,64,No Reduction,3/1/1995,8706 days 00:00:00.000000000
143,FMCNA - ST FRANCIS COUNTY DIALYSIS,42533,FORREST CITY,Arkansas,AR,72335,35.01,-90.78,3,5,1,5,2,5,9,8,7,8,10,9,7,6,8,7,3,5,10,9,10,10,6,5,6,5,10,10,10,10,60,No Reduction,11/10/1993,9182 days 00:00:00.000000000
144,DAVITA - MILLER COUNTY DIALYSIS,42578,TEXARKANA,Arkansas,AR,71854,33.45,-94.01,5,5,0,5,3,5,9,8,7,8,10,9,0,6,4,7,6,5,10,9,10,10,7,5,8,5,10,10,10,10,65,No Reduction,8/2/2006,4534 days 00:00:00.000000000
145,DAVITA - MALVERN DIALYSIS,42570,MALVERN,Arkansas,AR,72104,34.37,-92.81,4,5,6,5,5,5,10,8,9,8,10,9,7,6,8,7,7,5,10,9,10,10,3,5,8,5,10,10,10,10,73,No Reduction,4/14/2003,5740 days 00:00:00.000000000
146,DAVITA - RIVER VALLEY DIALYSIS,42508,RUSSELLVILLE,Arkansas,AR,72801,35.27,-93.14,9,5,7,5,8,5,7,8,8,8,10,9,4,6,6,7,4,5,10,9,10,10,5,5,4,5,10,10,10,10,63,No Reduction,10/8/1983,12868 days 00:00:00.000000000
147,ST BERNARDS REGIONAL MED CTR-DIALYSIS,42303,JONESBORO,Arkansas,AR,72401,35.82,-90.68,2,5,7,5,4,5,8,8,8,8,10,9,4,6,6,7,10,5,10,9,10,10,4,5,5,5,10,10,10,10,70,No Reduction,9/5/1978,14727 days 00:00:00.000000000
148,DAVITA - DEGRAY KIDNEY CTR,42512,ARKADELPHIA,Arkansas,AR,71923,34.12,-93.07,9,5,8,5,9,5,5,8,10,8,10,9,2,6,5,7,5,5,9,9,10,10,8,5,1,5,10,10,10,10,64,No Reduction,9/12/1986,11798 days 00:00:00.000000000
149,FMCNA - EAST ARKANSAS,42528,WEST MEMPHIS,Arkansas,AR,72301,35.14,-90.18,3,5,6,5,4,5,9,8,9,8,10,9,7,6,8,7,2,5,9,9,10,10,7,5,4,5,10,10,10,10,62,No Reduction,7/9/1990,10402 days 00:00:00.000000000
150,DAVITA - BENTONVILLE,42540,BENTONVILLE,Arkansas,AR,72712,36.36,-94.2,8,5,10,5,9,5,7,8,6,8,10,9,4,6,6,7,7,5,9,9,10,10,8,5,8,5,10,10,10,10,76,No Reduction,1/1/1996,8400 days 00:00:00.000000000
151,BENTON COUNTY DIALYSIS CTR,42575,BENTONVILLE,Arkansas,AR,72712,36.36,-94.2,0,5,6,5,3,5,9,8,8,8,10,9,6,6,8,7,6,5,10,9,10,10,8,5,5,5,10,10,10,10,70,No Reduction,9/9/2005,4861 days 00:00:00.000000000
152,DAVITA - PULASKI COUNTY DX,42535,JACKSONVILLE,Arkansas,AR,72076,34.86,-92.12,8,5,0,5,5,5,8,8,3,8,10,9,3,6,6,7,0,5,5,9,10,10,4,5,0,5,10,10,10,10,43,1.00%,1/9/1995,8757 days 00:00:00.000000000
153,US RENAL CARE - PINE BLUFF,42564,PINE BLUFF,Arkansas,AR,71603,34.21,-92.01,0,5,1,5,0,5,6,8,9,8,10,9,4,6,6,7,5,5,10,9,10,10,6,5,2,5,10,10,10,10,52,0.50%,9/27/2001,6304 days 00:00:00.000000000
154,DAVITA - SOUTH LITTLE ROCK,42590,LITTLE ROCK,Arkansas,AR,72209,34.72,-92.35,6,5,2,5,4,5,5,8,6,8,10,9,9,6,9,7,4,5,7,9,10,10,3,5,7,5,10,10,10,10,57,0.50%,12/29/2014,1463 days 00:00:00.000000000
155,DAVITA - SW ARKANSAS DIALYSIS-MAGNOLIA,42545,MAGNOLIA,Arkansas,AR,71753,33.27,-93.23,8,5,6,5,7,5,10,8,9,8,10,9,5,6,7,7,7,5,10,9,10,10,10,5,3,5,10,10,10,10,78,No Reduction,7/25/1997,7829 days 00:00:00.000000000
156,DAVITA - LITTLE ROCK DIALYSIS,42571,LITTLE ROCK,Arkansas,AR,72204,34.72,-92.35,0,5,0,5,0,5,7,8,8,8,10,9,0,6,4,7,2,5,6,9,10,10,2,5,1,5,10,10,10,10,37,1.50%,3/1/2003,5784 days 00:00:00.000000000
157,DAVITA - CONWAY DIALYSIS CTR,42517,CONWAY,Arkansas,AR,72034,35.05,-92.5,7,5,2,5,5,5,8,8,4,8,10,9,1,6,5,7,3,5,3,9,10,10,2,5,4,5,10,10,10,10,49,1.00%,8/23/1988,11087 days 00:00:00.000000000
158,NORTH HILLS DIALYSIS,42574,FAYETTEVILLE,Arkansas,AR,72703,36.07,-94.15,0,5,3,5,1,5,9,8,7,8,10,9,1,6,5,7,6,5,9,9,10,10,7,5,1,5,10,10,10,10,57,0.50%,8/3/2005,4898 days 00:00:00.000000000
159,ST. JOSEPH HOSPITAL RENAL CENTER,52368,ORANGE,California,CA,92868,33.78,-117.86,5,5,6,5,5,5,3,8,10,8,0,9,8,6,9,7,9,5,10,9,10,10,6,5,7,5,10,10,10,10,70,No Reduction,8/15/1977,15113 days 00:00:00.000000000
160,DAVITA-MAIN PLACE DIALYSIS CENTER,52503,ORANGE,California,CA,92868,33.78,-117.86,5,5,8,5,6,5,8,8,9,8,10,9,4,6,6,7,6,5,9,9,10,10,5,5,6,5,10,10,10,10,67,No Reduction,8/17/1977,15111 days 00:00:00.000000000
161,FMC-UNIVERSITY DIALYSIS CENTER OF ORANGE,52589,ORANGE,California,CA,92868,33.78,-117.86,7,5,9,5,8,5,10,8,10,8,10,9,6,6,8,7,3,5,10,9,10,10,8,5,5,5,10,10,10,10,74,No Reduction,7/1/1983,12967 days 00:00:00.000000000
162,SATELLITE HEALTHCARE ORANGE,552609,ORANGE,California,CA,92868,33.78,-117.86,6,5,8,5,7,5,8,8,10,8,10,9,8,6,9,7,9,5,10,9,10,10,3,5,9,5,10,10,10,10,80,No Reduction,12/29/2008,3654 days 00:00:00.000000000
163,FMC-BURBANK,52549,BURBANK,California,CA,91506,34.17,-118.32,5,5,8,5,6,5,10,8,8,8,10,9,4,6,6,7,8,5,10,9,10,10,0,5,2,5,10,10,10,10,64,No Reduction,8/30/1977,15098 days 00:00:00.000000000
164,MONTEREY PENINSULA DIALYSIS,52583,MONTEREY,California,CA,93940,36.6,-121.88,5,5,7,5,6,5,7,8,6,8,10,9,2,6,5,7,9,5,10,9,10,10,10,5,9,5,10,10,10,10,77,No Reduction,8/5/1982,13297 days 00:00:00.000000000
165,MANZANITA DIALYSIS CENTER,52604,CARMICHAEL,California,CA,95608,38.62,-121.32,3,5,4,5,3,5,5,8,7,8,10,9,5,6,7,7,3,5,10,9,10,10,5,5,4,5,10,10,10,10,52,0.50%,9/5/1984,12535 days 00:00:00.000000000
166,SAN JOAQUIN VALLEY DIALYSIS,52677,FRESNO,California,CA,93726,36.79,-119.76,3,5,4,5,3,5,8,8,10,8,10,9,8,6,9,7,0,5,8,9,10,10,4,5,6,5,10,10,10,10,55,0.50%,1/20/1989,10937 days 00:00:00.000000000
167,LOS BANOS DIALYSIS CENTER,52738,LOS BANOS,California,CA,93635,36.9,-121.02,6,5,9,5,7,5,6,8,10,8,10,9,8,6,9,7,9,5,8,9,10,10,3,5,8,5,10,10,10,10,76,No Reduction,7/2/1993,9313 days 00:00:00.000000000
168,DAVITA-HOLLYWOOD DIALYSIS CENTER,52801,LOS ANGELES,California,CA,90027,34.12,-118.28,7,5,7,5,7,5,9,8,8,8,10,9,1,6,5,7,5,5,10,9,10,10,2,5,5,5,10,10,10,10,62,No Reduction,4/4/1997,7941 days 00:00:00.000000000
169,UCSD DIALYSIS CENTER,52818,SAN DIEGO,California,CA,92103,32.74,-117.17,10,5,7,5,9,5,10,8,10,8,10,9,6,6,8,7,10,5,10,9,10,10,6,5,10,5,10,10,10,10,91,No Reduction,2/17/1998,7622 days 00:00:00.000000000
170,FMC-HILLCREST DIALYSIS,52500,SAN DIEGO,California,CA,92103,32.74,-117.17,10,5,3,5,7,5,10,8,10,8,10,9,4,6,6,7,1,5,10,9,10,10,0,5,10,5,10,10,10,10,60,No Reduction,8/11/1977,15117 days 00:00:00.000000000
171,KIDNEY INSTITUTE AT EISENHOWER MEDICAL CENTER,52832,RANCHO MIRAGE,California,CA,92270,33.78,-116.41,0,5,4,5,2,5,8,8,9,8,0,9,0,6,1,7,3,5,10,9,10,10,5,5,9,5,10,10,10,10,49,1.00%,3/25/1998,7586 days 00:00:00.000000000
172,DAVITA-KENNETH HAHN PLAZA DIALYSIS CENTER,52858,LOS ANGELES,California,CA,90059,33.92,-118.24,8,5,10,5,9,5,9,8,8,8,10,9,5,6,7,7,3,5,10,9,10,10,1,5,6,5,10,10,10,10,63,No Reduction,3/2/2000,6878 days 00:00:00.000000000
173,FMC-RAI-COMPTON-LOS ANGELES,52590,LOS ANGELES,California,CA,90059,33.92,-118.24,6,5,7,5,6,5,9,8,9,8,10,9,8,6,9,7,2,5,7,9,10,10,7,5,3,5,10,10,10,10,65,No Reduction,7/19/1983,12949 days 00:00:00.000000000
174,WHITTIER KIDNEY DIALYSIS CENTER,52884,WHITTIER,California,CA,90603,33.94,-117.99,9,5,6,5,8,5,4,8,10,8,0,9,6,6,8,7,7,5,10,9,10,10,7,5,0,5,10,10,10,10,65,No Reduction,6/5/2002,6053 days 00:00:00.000000000
175,DAVITA-WHITTIER DIALYSIS CENTER,552509,WHITTIER,California,CA,90603,33.94,-117.99,4,5,7,5,5,5,9,8,9,8,10,9,5,6,7,7,6,5,9,9,10,10,0,5,1,5,10,10,10,10,58,0.50%,6/16/2003,5677 days 00:00:00.000000000
176,NATOMAS DIALYSIS,552569,SACRAMENTO,California,CA,95834,38.64,-121.54,5,5,2,5,4,5,6,8,7,8,10,9,1,6,5,7,4,5,10,9,10,10,5,5,7,5,10,10,10,10,56,0.50%,1/4/2007,4379 days 00:00:00.000000000
177,SATELLITE HEALTHCARE SACRAMENTO,552739,SACRAMENTO,California,CA,95834,38.64,-121.54,1,5,7,5,4,5,7,8,7,8,10,9,8,6,9,7,5,5,10,9,10,10,0,5,6,5,10,10,10,10,59,0.50%,12/20/2013,1837 days 00:00:00.000000000
178,EAST LOS ANGELES DIALYSIS CENTER,552574,EAST LOS ANGELES,California,CA,90022,34.02,-118.15,4,5,5,5,4,5,9,8,9,8,10,9,7,6,8,7,6,5,10,9,10,10,1,5,3,5,10,10,10,10,62,No Reduction,3/5/2007,4319 days 00:00:00.000000000
179,FMC-RAI-EAST OLYMPIC-LOS ANGELES,52683,LOS ANGELES,California,CA,90022,34.02,-118.15,5,5,7,5,6,5,9,8,9,8,10,9,8,6,9,7,3,5,10,9,10,10,3,5,3,5,10,10,10,10,62,No Reduction,5/22/1989,10815 days 00:00:00.000000000
180,DAVITA-DOCTORS DIALYSIS CENTER OF EAST LOS ANGELES,52725,EAST LOS ANGELES,California,CA,90022,34.02,-118.15,6,5,6,5,6,5,7,8,8,8,10,9,6,6,8,7,9,5,10,9,10,10,6,5,2,5,10,10,10,10,72,No Reduction,7/15/1992,9665 days 00:00:00.000000000
181,FMC-DIALYSIS SERVICES OF EAST LOS ANGELES,552568,EAST LOS ANGELES,California,CA,90022,34.02,-118.15,6,5,7,5,7,5,10,8,10,8,10,9,8,6,9,7,7,5,9,9,10,10,5,5,3,5,10,10,10,10,76,No Reduction,12/20/2006,4394 days 00:00:00.000000000
